TRANSACTION_ID,TX_DATETIME,CUSTOMER_ID,TERMINAL_ID,TX_AMOUNT,TX_TIME_SECONDS,TX_TIME_DAYS,TX_FRAUD,TX_FRAUD_SCENARIO,TX_DURING_WEEKEND,TX_DURING_NIGHT,CUSTOMER_ID_NB_TX_1DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_1DAY_WINDOW,CUSTOMER_ID_NB_TX_7DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_7DAY_WINDOW,CUSTOMER_ID_NB_TX_30DAY_WINDOW,CUSTOMER_ID_AVG_AMOUNT_30DAY_WINDOW,TERMINAL_ID_NB_TX_1DAY_WINDOW,TERMINAL_ID_RISK_1DAY_WINDOW,TERMINAL_ID_NB_TX_7DAY_WINDOW,TERMINAL_ID_RISK_7DAY_WINDOW,TERMINAL_ID_NB_TX_30DAY_WINDOW,TERMINAL_ID_RISK_30DAY_WINDOW
0,2023-12-01 00:07:56,2,316,146.0,476,0,0,0,0,1,1.0,146.0,1.0,146.0,1.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2023-12-01 00:30:05,360,184,92.74,1805,0,0,0,0,1,1.0,92.74,1.0,92.74,1.0,92.74,0.0,0.0,0.0,0.0,0.0,0.0
2,2023-12-01 00:32:35,183,319,39.3,1955,0,0,0,0,1,1.0,39.3,1.0,39.3,1.0,39.3,0.0,0.0,0.0,0.0,0.0,0.0
3,2023-12-01 00:43:59,382,202,15.35,2639,0,0,0,0,1,1.0,15.35,1.0,15.35,1.0,15.35,0.0,0.0,0.0,0.0,0.0,0.0
4,2023-12-01 00:45:51,381,223,23.15,2751,0,0,0,0,1,1.0,23.15,1.0,23.15,1.0,23.15,0.0,0.0,0.0,0.0,0.0,0.0
5,2023-12-01 00:57:25,426,275,82.58,3445,0,0,0,0,1,1.0,82.58,1.0,82.58,1.0,82.58,0.0,0.0,0.0,0.0,0.0,0.0
6,2023-12-01 01:11:00,8,46,2.08,4260,0,0,0,0,1,1.0,2.08,1.0,2.08,1.0,2.08,0.0,0.0,0.0,0.0,0.0,0.0
7,2023-12-01 01:25:06,447,329,91.8,5106,0,0,0,0,1,1.0,91.8,1.0,91.8,1.0,91.8,0.0,0.0,0.0,0.0,0.0,0.0
8,2023-12-01 01:26:30,408,60,23.41,5190,0,0,0,0,1,1.0,23.41,1.0,23.41,1.0,23.41,0.0,0.0,0.0,0.0,0.0,0.0
9,2023-12-01 01:38:25,230,33,18.93,5905,0,0,0,0,1,1.0,18.93,1.0,18.93,1.0,18.93,0.0,0.0,0.0,0.0,0.0,0.0
10,2023-12-01 01:55:28,474,18,10.67,6928,0,0,0,0,1,1.0,10.67,1.0,10.67,1.0,10.67,0.0,0.0,0.0,0.0,0.0,0.0
11,2023-12-01 01:56:23,398,153,8.8,6983,0,0,0,0,1,1.0,8.8,1.0,8.8,1.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0
12,2023-12-01 01:56:44,55,81,35.06,7004,0,0,0,0,1,1.0,35.06,1.0,35.06,1.0,35.06,0.0,0.0,0.0,0.0,0.0,0.0
13,2023-12-01 01:59:15,159,470,54.22,7155,0,0,0,0,1,1.0,54.22,1.0,54.22,1.0,54.22,0.0,0.0,0.0,0.0,0.0,0.0
14,2023-12-01 02:13:54,354,106,22.84,8034,0,0,0,0,1,1.0,22.84,1.0,22.84,1.0,22.84,0.0,0.0,0.0,0.0,0.0,0.0
15,2023-12-01 02:17:26,220,291,110.42,8246,0,0,0,0,1,1.0,110.42,1.0,110.42,1.0,110.42,0.0,0.0,0.0,0.0,0.0,0.0
16,2023-12-01 02:20:28,423,35,30.29,8428,0,0,0,0,1,1.0,30.29,1.0,30.29,1.0,30.29,0.0,0.0,0.0,0.0,0.0,0.0
17,2023-12-01 02:22:02,447,326,94.1,8522,0,0,0,0,1,2.0,92.94999999999999,2.0,92.94999999999999,2.0,92.94999999999999,0.0,0.0,0.0,0.0,0.0,0.0
18,2023-12-01 02:24:40,30,276,171.78,8680,0,0,0,0,1,1.0,171.78,1.0,171.78,1.0,171.78,0.0,0.0,0.0,0.0,0.0,0.0
19,2023-12-01 02:27:04,340,341,31.55,8824,0,0,0,0,1,1.0,31.55,1.0,31.55,1.0,31.55,0.0,0.0,0.0,0.0,0.0,0.0
21,2023-12-01 02:28:17,497,113,28.96,8897,0,0,0,0,1,1.0,28.96,1.0,28.96,1.0,28.96,0.0,0.0,0.0,0.0,0.0,0.0
20,2023-12-01 02:28:17,270,471,10.78,8897,0,0,0,0,1,1.0,10.78,1.0,10.78,1.0,10.78,0.0,0.0,0.0,0.0,0.0,0.0
22,2023-12-01 02:30:00,358,135,74.36,9000,0,0,0,0,1,1.0,74.36,1.0,74.36,1.0,74.36,0.0,0.0,0.0,0.0,0.0,0.0
23,2023-12-01 02:35:44,286,204,19.79,9344,0,0,0,0,1,1.0,19.79,1.0,19.79,1.0,19.79,0.0,0.0,0.0,0.0,0.0,0.0
24,2023-12-01 02:35:58,340,96,10.24,9358,0,0,0,0,1,2.0,20.895,2.0,20.895,2.0,20.895,0.0,0.0,0.0,0.0,0.0,0.0
25,2023-12-01 02:36:35,139,445,119.38,9395,0,0,0,0,1,1.0,119.38,1.0,119.38,1.0,119.38,0.0,0.0,0.0,0.0,0.0,0.0
26,2023-12-01 02:37:22,204,138,73.44,9442,0,0,0,0,1,1.0,73.44,1.0,73.44,1.0,73.44,0.0,0.0,0.0,0.0,0.0,0.0
27,2023-12-01 02:43:34,59,102,40.21,9814,0,0,0,0,1,1.0,40.21,1.0,40.21,1.0,40.21,0.0,0.0,0.0,0.0,0.0,0.0
28,2023-12-01 02:47:11,128,439,96.68,10031,0,0,0,0,1,1.0,96.68,1.0,96.68,1.0,96.68,0.0,0.0,0.0,0.0,0.0,0.0
29,2023-12-01 02:55:03,458,421,6.45,10503,0,0,0,0,1,1.0,6.45,1.0,6.45,1.0,6.45,0.0,0.0,0.0,0.0,0.0,0.0
30,2023-12-01 03:00:01,53,410,2.32,10801,0,0,0,0,1,1.0,2.32,1.0,2.32,1.0,2.32,0.0,0.0,0.0,0.0,0.0,0.0
31,2023-12-01 03:07:18,36,175,12.36,11238,0,0,0,0,1,1.0,12.36,1.0,12.36,1.0,12.36,0.0,0.0,0.0,0.0,0.0,0.0
32,2023-12-01 03:21:54,249,94,35.61,12114,0,0,0,0,1,1.0,35.61,1.0,35.61,1.0,35.61,0.0,0.0,0.0,0.0,0.0,0.0
33,2023-12-01 03:22:53,81,445,83.99,12173,0,0,0,0,1,1.0,83.99,1.0,83.99,1.0,83.99,0.0,0.0,0.0,0.0,0.0,0.0
34,2023-12-01 03:25:24,461,341,52.19,12324,0,0,0,0,1,1.0,52.19,1.0,52.19,1.0,52.19,0.0,0.0,0.0,0.0,0.0,0.0
35,2023-12-01 03:37:49,261,405,118.23,13069,0,0,0,0,1,1.0,118.23,1.0,118.23,1.0,118.23,0.0,0.0,0.0,0.0,0.0,0.0
36,2023-12-01 03:40:23,354,106,26.61,13223,0,0,0,0,1,2.0,24.725,2.0,24.725,2.0,24.725,0.0,0.0,0.0,0.0,0.0,0.0
